SA_step,Energy,Energy_Error,Mu,Sigma
531,-0.469596,0.0446186,0.792368,0.625481
532,-0.469596,0.0446186,0.792368,0.625481
533,-0.469596,0.0446186,0.792368,0.625481
534,-0.469596,0.0446186,0.792368,0.625481
535,-0.469596,0.0446186,0.792368,0.625481
536,-0.469596,0.0446186,0.792368,0.625481
537,-0.469596,0.0446186,0.792368,0.625481
538,-0.469596,0.0446186,0.792368,0.625481
539,-0.4711,0.0447389,0.791667,0.622152
540,-0.4711,0.0447389,0.791667,0.622152
541,-0.4711,0.0447389,0.791667,0.622152
542,-0.4711,0.0447389,0.791667,0.622152
543,-0.4711,0.0447389,0.791667,0.622152
544,-0.4711,0.0447389,0.791667,0.622152
545,-0.4711,0.0447389,0.791667,0.622152
546,-0.4711,0.0447389,0.791667,0.622152
547,-0.4711,0.0447389,0.791667,0.622152
548,-0.4711,0.0447389,0.791667,0.622152
549,-0.4711,0.0447389,0.791667,0.622152
550,-0.4711,0.0447389,0.791667,0.622152
551,-0.4711,0.0447389,0.791667,0.622152
552,-0.4711,0.0447389,0.791667,0.622152
553,-0.4711,0.0447389,0.791667,0.622152
554,-0.4711,0.0447389,0.791667,0.622152
555,-0.4711,0.0447389,0.791667,0.622152
556,-0.4711,0.0447389,0.791667,0.622152
557,-0.4711,0.0447389,0.791667,0.622152
558,-0.4711,0.0447389,0.791667,0.622152
559,-0.4711,0.0447389,0.791667,0.622152
560,-0.4711,0.0447389,0.791667,0.622152
561,-0.4711,0.0447389,0.791667,0.622152
562,-0.4711,0.0447389,0.791667,0.622152
563,-0.4711,0.0447389,0.791667,0.622152
564,-0.4711,0.0447389,0.791667,0.622152
565,-0.4711,0.0447389,0.791667,0.622152
566,-0.4711,0.0447389,0.791667,0.622152
567,-0.4711,0.0447389,0.791667,0.622152
568,-0.4711,0.0447389,0.791667,0.622152
569,-0.4711,0.0447389,0.791667,0.622152
570,-0.4711,0.0447389,0.791667,0.622152
571,-0.4711,0.0447389,0.791667,0.622152
572,-0.4711,0.0447389,0.791667,0.622152
573,-0.4711,0.0447389,0.791667,0.622152
574,-0.4711,0.0447389,0.791667,0.622152
575,-0.4711,0.0447389,0.791667,0.622152
576,-0.4711,0.0447389,0.791667,0.622152
577,-0.4711,0.0447389,0.791667,0.622152
